Texto,Emocion
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy feliz,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,No se puede predecir
muy mal,2
muy mal,amor
me siento mal,tristeza
me siento mal,tristeza
tengo miedo de no aprobar el semestre,tristeza
me siento con miedo,tristeza
me siento mal,tristeza
tengo miedo,tristeza
mal,No se puede predecir
mal,tristeza
me siento mal,tristeza
siento miedo,tristeza
me siento feliz,tristeza
tengo mucha rabia,tristeza
amor,tristeza
miedo,tristeza
siento miedo,tristeza
tengo rabia,tristeza
siento susto,tristeza
me siento mal,['tristeza']
me da rabia,['tristeza']
siento miedo,['miedo']
me enfurece la vida,['tristeza']
me siento alegre,['tristeza']
Estoy muy feliz hoy,['tristeza']
Estoy muy feliz hoy,['tristeza']
Estoy muy feliz hoy,['tristeza']
Me siento muy triste,['tristeza']
Me siento muy triste,['tristeza']
Me siento muy triste,['tristeza']
triste,['tristeza']
feliz,['tristeza']
Muy bien,['tristeza']
triste,['tristeza']
triste,['tristeza']
Feliz,['tristeza']
Feliz,['tristeza']
enojado,['miedo']
animado,['tristeza']
animado,['tristeza']
enojado,['miedo']
feliz,['tristeza']
Enojado,['miedo']
triste,['tristeza']
podria estar mejor...,['tristeza']
Me siento muy triste,['tristeza']
Enojado,['miedo']
Podria estar peor,['tristeza']
Enojado,['miedo']
Me siento muy feliz hoy,['tristeza']
ganas de morir,['tristeza']
ganas de morir,['tristeza']
enojado,['miedo']
ir,['tristeza']
ira,['tristeza']
miedo,['miedo']
Podria estar peor,['tristeza']
me siento muy enojado,['tristeza']
estoy enojado,['tristeza']
me siento enojado ,['tristeza']
enojo,['tristeza']
enojo,['tristeza']
miedo,['miedo']
me siento aterrado,['tristeza']
me siento con miedo,['miedo']
